time,ax,ay,az
11.64,-0.183006,-0.067323,0.862255
11.66,0.032803,-0.132973,0.955106
11.68,-0.038367,-0.025451,0.835225
11.7,0.51389,-0.088351,0.687765
11.72,0.373368,-0.246367,0.286817
11.74,0.261792,0.16692,0.205339
11.76,0.526303,1.043488,0.155345
11.78,0.973072,1.741786,0.029791
11.8,0.660978,3.440881,-0.32146
11.82,0.7188,4.574099,-0.535348
11.84,0.543816,4.537412,-0.63325
11.86,0.358517,3.944636,-0.714349
11.88,0.659721,2.136564,-0.788195
11.9,0.408623,1.077896,-0.930619
11.92,0.055784,0.595696,-0.89382
11.94,0.043357,0.002115,-0.835289
11.96,-0.132061,0.58966,-0.819987
11.98,-0.36735,1.117685,-0.333086
12.0,-0.562435,1.46897,-0.26645
12.02,-0.402382,1.757938,-0.316436
12.04,-0.527385,1.722639,-0.399943
12.06,-0.686596,1.048466,0.302208
12.08,-0.476176,0.841074,0.404273
12.1,-0.222075,0.458786,0.63898
12.12,-0.494769,0.239371,0.416124
12.14,-0.564329,0.03956,0.342915
12.16,-0.308664,-0.023112,0.832272
12.18,-0.338632,0.611722,0.549005
12.2,-0.289173,0.144012,1.144945
12.22,-0.163941,0.366458,0.606891
12.24,0.313831,0.018498,0.994288
12.26,0.515923,-0.108859,0.981873
12.28,0.196134,0.033842,0.666845
12.3,0.35209,0.219601,0.249238
12.32,0.604178,1.04447,-0.059927
12.34,0.612513,2.201901,0.097166
12.36,0.649177,3.183276,-0.297988
12.38,0.493272,4.650306,-0.711983
12.4,0.626856,4.111739,-0.404811
12.42,0.587447,3.338175,-0.624484
12.44,0.326083,2.086743,-0.776601
12.46,0.37195,0.953376,-1.171081
12.48,0.057514,0.7884,-0.570066
12.5,0.015682,0.458848,-0.787136
12.52,-0.039978,0.889794,-0.795075
12.54,-0.163022,1.449173,-0.669779
12.56,-0.404641,1.693347,-0.269648
12.58,-0.534853,1.689982,-0.279896
12.6,-0.485111,1.781002,-0.034763
12.62,-0.790994,1.128339,0.243759
12.64,-0.783116,0.944864,0.26665
12.66,-0.673313,0.511039,0.728414
12.68,-0.492982,0.180029,0.387847
12.7,-0.385472,0.322499,0.800833
12.72,-0.189865,0.127173,0.578951
12.74,-0.255368,0.113944,0.907855
12.76,-0.193787,-0.010548,0.839102
12.78,0.205772,0.201753,0.825735
12.8,0.208647,-0.19984,0.47108
12.82,0.26197,0.238108,0.57055
12.84,0.472398,-0.169018,0.140976
12.86,0.648923,0.439569,-0.006204
12.88,0.68147,1.223334,0.454471
12.9,0.776872,2.442163,-0.190611
12.92,0.634418,3.687471,-0.554905
12.94,0.718357,4.526614,-0.906157
12.96,0.434046,3.996719,-0.474568
12.98,0.445943,3.292812,-0.957508
13.0,0.191303,1.896783,-0.877522
13.02,0.076029,0.687501,-0.913972
13.04,0.185913,0.674926,-1.018039
13.06,-0.073763,0.531632,-0.707936
13.08,-0.038783,0.886707,-0.710805
13.1,-0.455836,0.935213,-0.551289
13.12,-0.397446,1.851043,-0.398825
13.14,-0.141248,1.784243,-0.243767
13.16,-0.497957,1.440689,0.03969
13.18,-0.901626,1.38469,0.19755
13.2,-0.56723,0.83438,0.166124
13.22,-0.709906,0.747906,0.582819
13.24,-0.6117,0.28202,0.695315
13.26,-0.149335,0.297808,0.789054
13.28,-0.407739,0.381135,0.768311
13.3,-0.351452,-0.237437,0.670429
13.32,-0.144748,0.154588,0.912265
13.34,0.217857,0.03172,0.836012
13.36,0.517122,0.189915,0.851484
13.38,0.075578,-0.105999,0.367018
13.4,0.009173,0.190973,0.532747
13.42,0.41806,0.604884,0.023466
13.44,0.486838,1.458752,-0.207821
13.46,0.770382,2.295887,-0.158697
13.48,0.523958,4.250927,-0.260786
13.5,0.25801,4.016032,-0.674189
13.52,0.439182,3.917724,-0.641677
13.54,0.533225,2.416844,-1.005601
13.56,0.365706,1.365772,-0.802858
13.58,0.110511,0.637476,-0.576097
13.6,-0.168291,0.193271,-0.673844
13.62,0.174894,0.544974,-0.89127
13.64,-0.492734,1.008839,-0.785286
13.66,0.011232,1.862529,-0.429499
13.68,-0.348771,1.697222,-0.134125
13.7,-0.507057,1.800722,0.072275
13.72,-0.471867,1.989373,-0.196988
13.74,-0.679504,0.968941,0.352653
13.76,-0.670205,0.831895,0.217354
13.78,-0.579945,0.829759,0.784767
13.8,-0.788377,0.235125,0.781814
13.82,-0.495601,-0.160708,0.842492
13.84,-0.299981,0.129036,0.766957
13.86,0.157109,-0.177936,0.723453
